,emotion,global nervous system,immunologic,motor,misclassified,gastrointestinal,song references,cardiovascular,genitourinary,oncologic,written media references,esp,metabolic,hematologic,musculoskeletal,place references,property of toxin,somatic sensation,neurologic disorder,perception,endocrine,sense of self,use of substance,sexual activity,uninterpretable,respiratory,activity references,renal,chemical process,infectious,cognitive ability,behavior,integumentary
infusion,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
chocolate,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
butabital,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
myrrh,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
mescaline,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
psilocybin,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
picamilon,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
benedryl,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
spearmint,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
lisdexamphetamine,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
cabrerana,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
geodon,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
opioids,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
duster,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
gasoline,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
dronabinol,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
oxide,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
phenergan,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
lobelia,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
aripiprazole,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
metoprolol,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
tianeptine,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
root,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
mirtazapine,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
capsaicin,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
inhalator,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
dimethylone,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
spp,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
dilaudid,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
dxo,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
xylazine,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
dxm,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
quetiapine,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
lexapro,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
datura,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
dilantin,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
belladonna,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
machine,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
citalopram,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
salvia,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
choline,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
animal,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
phalaris,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
fever,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
blotter,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
brugmansia,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
benzedrex,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
dexedrine,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
gravol,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
man,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
innoxia,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
ghv,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
morphine,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
selegeline,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
liquid,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
sr,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
h3,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
hypnotic,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
green,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
mdai,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
methadone,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
dream,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
wine,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
lsd,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
mexican,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
lsa,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
sertraline,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
tramadol,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
levamisole,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
paracetamol,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
lsz,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
ephedra,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
police,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
methylone,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
willow,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
vinpocetine,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
pcp,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
midazolam,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
pyridoxine,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
pharms,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
psychoactives,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
coffee,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
opiods,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
barbituates,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
sonata,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
silver,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
n02,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
ecstacy,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
ayahuasca,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
ethylone,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
alchohol,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
thyme,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
dextromethorphan,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
concerta,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
dlpa,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
lucidril,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
dimenhydrinate,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
atomoxetine,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
nicotine,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
naloxone,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
ultracet,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
