,prior,marginal,conditional_probability,source
1669,cyanogenic,anticoagulant,0.0,dd
1670,anesthetic,anticoagulant,0.0,dd
1671,hepatotoxin,anticoagulant,0.0,dd
1672,anabolic hormones,anticoagulant,0.0,dd
1673,antinausea,anticoagulant,0.0,dd
1674,antihyperglycemic,anticoagulant,0.0,dd
1675,hiv medications,anticoagulant,0.0,dd
1676,nonopioid analgesic,anticoagulant,0.0,dd
1677,inhalant,anticoagulant,0.0,dd
1678,psychedelic,anticoagulant,3.51160585735857e-05,dd
1679,antipsychotic,anticoagulant,0.0,dd
1680,bulking agent,anticoagulant,0.0,dd
1681,serm,anticoagulant,0.0,dd
1682,metabolite,anticoagulant,0.0,dd
1683,cannabinoid receptor agonists,anticoagulant,0.0,dd
1684,endogenous chemical,anticoagulant,3.51160585735857e-05,dd
1685,sedative,anticoagulant,3.51160585735857e-05,dd
1686,antidepressant,anticoagulant,0.0,dd
1687,structural class,anticoagulant,0.0,dd
1688,chemical reagent,anticoagulant,0.0,dd
1689,androgen/estrogen,anticoagulant,0.0,dd
1690,uncoupler,anticoagulant,0.0,dd
1691,steroid,anticoagulant,0.0,dd
1692,nootropic,anticoagulant,0.0,dd
1693,acetaminophen-containing,anticoagulant,0.0,dd
1694,element,anticoagulant,0.0,dd
1695,tricyclic antidepressants,anticoagulant,0.0,dd
1696,antithyroid,anticoagulant,0.0,dd
1697,nmda antagonist,anticoagulant,0.0,dd
1698,vasoactive,anticoagulant,0.0,dd
1699,opioid,neurotoxin,0.0,dd
1700,serotonergic,neurotoxin,0.0,dd
1701,unclear,neurotoxin,0.0,dd
1702,cardioactive,neurotoxin,0.0,dd
1703,antibiotic/antifungal,neurotoxin,0.0,dd
1704,ssri,neurotoxin,0.0,dd
1705,ergot,neurotoxin,0.0,dd
1706,anti-inflammatory,neurotoxin,0.0,dd
1707,mushrooms,neurotoxin,0.0,dd
1708,anticoagulant,neurotoxin,0.0,dd
1709,neurotoxin,neurotoxin,0.0,dd
1710,misclassified,neurotoxin,0.0,dd
1711,antacid,neurotoxin,0.0,dd
1712,stimulants,neurotoxin,0.0,dd
1713,moiety,neurotoxin,0.0,dd
1714,snakes,neurotoxin,0.0,dd
1715,sexual enhancement,neurotoxin,0.0,dd
1716,salicylate,neurotoxin,0.0,dd
1717,alcohol,neurotoxin,0.0,dd
1718,chemical process,neurotoxin,0.0,dd
1719,cholinergic plant,neurotoxin,0.0,dd
1720,dopamine agonist,neurotoxin,0.0,dd
1721,paralytic,neurotoxin,0.0,dd
1722,abortifacient,neurotoxin,0.0,dd
1723,analgesic,neurotoxin,0.0,dd
1724,anticholinergic medicine,neurotoxin,0.0,dd
1725,maoi,neurotoxin,0.0,dd
1726,functional class,neurotoxin,0.0,dd
1727,plant,neurotoxin,0.0,dd
1728,chemotherapeutic,neurotoxin,0.0,dd
1729,nsaid,neurotoxin,0.0,dd
1730,cyanogenic,neurotoxin,0.0,dd
1731,anesthetic,neurotoxin,0.0,dd
1732,hepatotoxin,neurotoxin,0.0,dd
1733,anabolic hormones,neurotoxin,0.0,dd
1734,antinausea,neurotoxin,0.0,dd
1735,antihyperglycemic,neurotoxin,0.0,dd
1736,hiv medications,neurotoxin,0.0,dd
1737,nonopioid analgesic,neurotoxin,0.0,dd
1738,inhalant,neurotoxin,0.0,dd
1739,psychedelic,neurotoxin,3.51160585735857e-05,dd
1740,antipsychotic,neurotoxin,0.0,dd
1741,bulking agent,neurotoxin,0.0,dd
1742,serm,neurotoxin,0.0,dd
1743,metabolite,neurotoxin,0.0,dd
1744,cannabinoid receptor agonists,neurotoxin,3.51160585735857e-05,dd
1745,endogenous chemical,neurotoxin,0.0,dd
1746,sedative,neurotoxin,0.0,dd
1747,antidepressant,neurotoxin,0.0,dd
1748,structural class,neurotoxin,0.0,dd
1749,chemical reagent,neurotoxin,0.0,dd
1750,androgen/estrogen,neurotoxin,0.0,dd
1751,uncoupler,neurotoxin,0.0,dd
1752,steroid,neurotoxin,0.0,dd
1753,nootropic,neurotoxin,0.0,dd
1754,acetaminophen-containing,neurotoxin,0.0,dd
1755,element,neurotoxin,0.0,dd
1756,tricyclic antidepressants,neurotoxin,0.0,dd
1757,antithyroid,neurotoxin,0.0,dd
1758,nmda antagonist,neurotoxin,0.0,dd
1759,vasoactive,neurotoxin,0.0,dd
1771,misclassified,misclassified,0.0,dd
1821,opioid,antacid,0.0001404642342943428,dd
1822,serotonergic,antacid,0.0,dd
1823,unclear,antacid,0.0,dd
1824,cardioactive,antacid,0.0,dd
1825,antibiotic/antifungal,antacid,0.0,dd
1826,ssri,antacid,0.0,dd
1827,ergot,antacid,0.0,dd
1828,anti-inflammatory,antacid,0.0,dd
1829,mushrooms,antacid,0.0,dd
1830,anticoagulant,antacid,0.0,dd
1831,neurotoxin,antacid,0.0,dd
1832,misclassified,antacid,0.0,dd
1833,antacid,antacid,0.0,dd
1834,stimulants,antacid,3.51160585735857e-05,dd
1835,moiety,antacid,0.0,dd
1836,snakes,antacid,0.0,dd
1837,sexual enhancement,antacid,0.0,dd
1838,salicylate,antacid,0.0,dd
1839,alcohol,antacid,3.51160585735857e-05,dd
1840,chemical process,antacid,0.0,dd
1841,cholinergic plant,antacid,0.0,dd
1842,dopamine agonist,antacid,0.0,dd
1843,paralytic,antacid,0.0,dd
1844,abortifacient,antacid,0.0,dd
1845,analgesic,antacid,0.0,dd
1846,anticholinergic medicine,antacid,3.51160585735857e-05,dd
1847,maoi,antacid,0.0,dd
1848,functional class,antacid,0.0,dd
1849,plant,antacid,0.0,dd
1850,chemotherapeutic,antacid,0.0,dd
1851,nsaid,antacid,0.0,dd
1852,cyanogenic,antacid,0.0,dd
1853,anesthetic,antacid,0.0,dd
1854,hepatotoxin,antacid,0.0,dd
1855,anabolic hormones,antacid,0.0,dd
1856,antinausea,antacid,0.0,dd
1857,antihyperglycemic,antacid,0.0,dd
1858,hiv medications,antacid,0.0,dd
1859,nonopioid analgesic,antacid,0.0,dd
1860,inhalant,antacid,0.0,dd
1861,psychedelic,antacid,0.0,dd
1862,antipsychotic,antacid,0.0,dd
1863,bulking agent,antacid,0.0,dd
1864,serm,antacid,0.0,dd
1865,metabolite,antacid,0.0,dd
1866,cannabinoid receptor agonists,antacid,0.0,dd
1867,endogenous chemical,antacid,3.51160585735857e-05,dd
1868,sedative,antacid,0.0,dd
1869,antidepressant,antacid,0.0,dd
1870,structural class,antacid,3.51160585735857e-05,dd
1871,chemical reagent,antacid,0.0,dd
1872,androgen/estrogen,antacid,0.0,dd
1873,uncoupler,antacid,0.0,dd
1874,steroid,antacid,0.0,dd
1875,nootropic,antacid,0.0,dd
1876,acetaminophen-containing,antacid,0.0,dd
1877,element,antacid,0.0,dd
1878,tricyclic antidepressants,antacid,0.0,dd
1879,antithyroid,antacid,0.0,dd
1880,nmda antagonist,antacid,0.0,dd
1881,vasoactive,antacid,0.0,dd
1882,opioid,stimulants,1.0064357228001729e-05,dd
1883,serotonergic,stimulants,3.119763554867244e-08,dd
1884,unclear,stimulants,0.0,dd
1885,cardioactive,stimulants,4.367668976814142e-07,dd
1886,antibiotic/antifungal,stimulants,3.618925723646003e-07,dd
1887,ssri,stimulants,8.298571055946869e-07,dd
1888,ergot,stimulants,2.3710203016991055e-07,dd
1889,anti-inflammatory,stimulants,1.3103006930442424e-07,dd
1890,mushrooms,stimulants,6.239527109734488e-09,dd
1891,anticoagulant,stimulants,6.239527109734488e-09,dd
1892,neurotoxin,stimulants,0.0,dd
1893,misclassified,stimulants,0.0,dd
1894,antacid,stimulants,6.239527109734488e-09,dd
1895,stimulants,stimulants,0.0,dd
1896,moiety,stimulants,9.234500122407042e-07,dd
1897,snakes,stimulants,0.0,dd
1898,sexual enhancement,stimulants,1.8718581329203464e-08,dd
1899,salicylate,stimulants,0.0,dd
1900,alcohol,stimulants,7.674618344973421e-07,dd
1901,chemical process,stimulants,1.2479054219468976e-08,dd
1902,cholinergic plant,stimulants,4.3676689768141415e-08,dd
1903,dopamine agonist,stimulants,8.111385242654834e-08,dd
1904,paralytic,stimulants,0.0,dd
1905,abortifacient,stimulants,0.0,dd
1906,analgesic,stimulants,1.2479054219468976e-08,dd
1907,anticholinergic medicine,stimulants,1.453809816568136e-06,dd
1908,maoi,stimulants,7.9241994293628e-07,dd
1909,functional class,stimulants,2.970014904233616e-06,dd
1910,plant,stimulants,5.615574398761039e-07,dd
1911,chemotherapeutic,stimulants,3.1197635548672443e-07,dd
1912,nsaid,stimulants,3.119763554867244e-08,dd
1913,cyanogenic,stimulants,0.0,dd
1914,anesthetic,stimulants,2.495810843893795e-08,dd
1915,hepatotoxin,stimulants,1.2479054219468976e-08,dd
1916,anabolic hormones,stimulants,3.743716265840693e-08,dd
1917,antinausea,stimulants,4.99162168778759e-08,dd
1918,antihyperglycemic,stimulants,4.3676689768141415e-08,dd
1919,hiv medications,stimulants,3.119763554867244e-08,dd
1920,nonopioid analgesic,stimulants,1.2479054219468976e-08,dd
1921,inhalant,stimulants,1.060719608654863e-07,dd
1922,psychedelic,stimulants,1.6540986367906126e-05,dd
1923,antipsychotic,stimulants,1.6846723196283118e-07,dd
1924,bulking agent,stimulants,6.239527109734488e-09,dd
1925,serm,stimulants,1.2479054219468976e-08,dd
1926,metabolite,stimulants,6.239527109734489e-07,dd
1927,cannabinoid receptor agonists,stimulants,3.1072845006477748e-06,dd
1928,endogenous chemical,stimulants,3.3319074765982164e-06,dd
1929,sedative,stimulants,9.172104851309697e-07,dd
1930,antidepressant,stimulants,1.9342534040176913e-07,dd
1931,structural class,stimulants,5.072735540214138e-06,dd
1932,chemical reagent,stimulants,9.234500122407042e-07,dd
1933,androgen/estrogen,stimulants,0.0,dd
1934,uncoupler,stimulants,1.8718581329203464e-08,dd
1935,steroid,stimulants,6.239527109734488e-08,dd
1936,nootropic,stimulants,4.99162168778759e-08,dd
1937,acetaminophen-containing,stimulants,7.9241994293628e-07,dd
1938,element,stimulants,1.1043962984230043e-06,dd
1939,tricyclic antidepressants,stimulants,1.3103006930442424e-07,dd
1940,antithyroid,stimulants,3.119763554867244e-08,dd
1941,nmda antagonist,stimulants,0.0,dd
1942,vasoactive,stimulants,6.738689278513247e-07,dd
1943,opioid,moiety,3.5460333657640467e-05,dd
1944,serotonergic,moiety,1.377100336219047e-06,dd
1945,unclear,moiety,0.0,dd
1946,cardioactive,moiety,4.131301008657142e-06,dd
1947,antibiotic/antifungal,moiety,6.885501681095235e-07,dd
1948,ssri,moiety,4.131301008657142e-06,dd
1949,ergot,moiety,3.098475756492856e-06,dd
1950,anti-inflammatory,moiety,1.377100336219047e-06,dd
1951,mushrooms,moiety,0.0,dd
1952,anticoagulant,moiety,0.0,dd
1953,neurotoxin,moiety,0.0,dd
1954,misclassified,moiety,0.0,dd
1955,antacid,moiety,0.0,dd
1956,stimulants,moiety,5.0952712440104744e-05,dd
1957,moiety,moiety,0.0,dd
1958,snakes,moiety,0.0,dd
1959,sexual enhancement,moiety,0.0,dd
1960,salicylate,moiety,0.0,dd
1961,alcohol,moiety,1.377100336219047e-06,dd
1962,chemical process,moiety,0.0,dd
1963,cholinergic plant,moiety,0.0,dd
1964,dopamine agonist,moiety,1.0328252521642854e-06,dd
1965,paralytic,moiety,0.0,dd
1966,abortifacient,moiety,0.0,dd
1967,analgesic,moiety,0.0,dd
1968,anticholinergic medicine,moiety,3.4427508405476177e-06,dd
1969,maoi,moiety,6.885501681095235e-06,dd
1970,functional class,moiety,9.63970235353333e-06,dd
1971,plant,moiety,6.885501681095235e-07,dd
1972,chemotherapeutic,moiety,1.7213754202738088e-06,dd
1973,nsaid,moiety,0.0,dd
1974,cyanogenic,moiety,0.0,dd
1975,anesthetic,moiety,0.0,dd
1976,hepatotoxin,moiety,0.0,dd
1977,anabolic hormones,moiety,0.0,dd
1978,antinausea,moiety,0.0,dd
1979,antihyperglycemic,moiety,0.0,dd
1980,hiv medications,moiety,3.4427508405476176e-07,dd
1981,nonopioid analgesic,moiety,0.0,dd
1982,inhalant,moiety,6.885501681095235e-07,dd
1983,psychedelic,moiety,3.3394683153311894e-05,dd
1984,antipsychotic,moiety,6.885501681095235e-07,dd
1985,bulking agent,moiety,0.0,dd
1986,serm,moiety,0.0,dd
1987,metabolite,moiety,3.4427508405476177e-06,dd
1988,cannabinoid receptor agonists,moiety,5.164126260821427e-06,dd
1989,endogenous chemical,moiety,1.583665386651904e-05,dd
1990,sedative,moiety,4.131301008657142e-06,dd
1991,antidepressant,moiety,2.754200672438094e-06,dd
1992,structural class,moiety,1.7902304370847613e-05,dd
1993,chemical reagent,moiety,9.983977437588091e-06,dd
1994,androgen/estrogen,moiety,0.0,dd
1995,uncoupler,moiety,0.0,dd
1996,steroid,moiety,0.0,dd
1997,nootropic,moiety,0.0,dd
1998,acetaminophen-containing,moiety,3.4427508405476176e-07,dd
1999,element,moiety,5.8526764289309505e-06,dd
2000,tricyclic antidepressants,moiety,1.377100336219047e-06,dd
2001,antithyroid,moiety,0.0,dd
2002,nmda antagonist,moiety,3.4427508405476176e-07,dd
2003,vasoactive,moiety,2.4099255883833325e-06,dd
2004,opioid,snakes,0.0,dd
2005,serotonergic,snakes,0.0,dd
2006,unclear,snakes,0.0,dd
2007,cardioactive,snakes,0.0,dd
2008,antibiotic/antifungal,snakes,0.0,dd
2009,ssri,snakes,0.0,dd
2010,ergot,snakes,0.0,dd
2011,anti-inflammatory,snakes,0.0,dd
2012,mushrooms,snakes,0.0,dd
2013,anticoagulant,snakes,0.0,dd
2014,neurotoxin,snakes,0.0,dd
2015,misclassified,snakes,0.0,dd
2016,antacid,snakes,0.0,dd
2017,stimulants,snakes,0.0,dd
2018,moiety,snakes,0.0,dd
2019,snakes,snakes,0.0,dd
2020,sexual enhancement,snakes,0.0,dd
2021,salicylate,snakes,0.0,dd
2022,alcohol,snakes,0.0,dd
2023,chemical process,snakes,0.0,dd
2024,cholinergic plant,snakes,0.0,dd
2025,dopamine agonist,snakes,0.0,dd
2026,paralytic,snakes,0.0,dd
2027,abortifacient,snakes,0.0,dd
2028,analgesic,snakes,0.0,dd
2029,anticholinergic medicine,snakes,0.0,dd
2030,maoi,snakes,0.0,dd
2031,functional class,snakes,0.0,dd
2032,plant,snakes,0.0,dd
2033,chemotherapeutic,snakes,0.0,dd
2034,nsaid,snakes,0.0,dd
2035,cyanogenic,snakes,0.0,dd
2036,anesthetic,snakes,0.0,dd
2037,hepatotoxin,snakes,0.0,dd
2038,anabolic hormones,snakes,0.0,dd
2039,antinausea,snakes,0.0,dd
2040,antihyperglycemic,snakes,0.0,dd
2041,hiv medications,snakes,0.0,dd
2042,nonopioid analgesic,snakes,0.0,dd
2043,inhalant,snakes,0.0,dd
2044,psychedelic,snakes,0.0,dd
2045,antipsychotic,snakes,0.0,dd
2046,bulking agent,snakes,0.0,dd
2047,serm,snakes,0.0,dd
2048,metabolite,snakes,0.0,dd
2049,cannabinoid receptor agonists,snakes,0.0,dd
2050,endogenous chemical,snakes,0.0,dd
2051,sedative,snakes,0.0,dd
2052,antidepressant,snakes,0.0,dd
2053,structural class,snakes,0.0,dd
2054,chemical reagent,snakes,0.0,dd
2055,androgen/estrogen,snakes,0.0,dd
2056,uncoupler,snakes,0.0,dd
2057,steroid,snakes,0.0,dd
2058,nootropic,snakes,0.0,dd
2059,acetaminophen-containing,snakes,0.0,dd
2060,element,snakes,0.0,dd
2061,tricyclic antidepressants,snakes,0.0,dd
2062,antithyroid,snakes,0.0,dd
2063,nmda antagonist,snakes,0.0,dd
2064,vasoactive,snakes,0.0,dd
2065,opioid,sexual enhancement,0.0,dd
2066,serotonergic,sexual enhancement,0.0,dd
2067,unclear,sexual enhancement,0.0,dd
2068,cardioactive,sexual enhancement,2.34107057157238e-05,dd
2069,antibiotic/antifungal,sexual enhancement,0.0,dd
2070,ssri,sexual enhancement,0.0,dd
2071,ergot,sexual enhancement,0.0,dd
2072,anti-inflammatory,sexual enhancement,0.0,dd
2073,mushrooms,sexual enhancement,0.0,dd
2074,anticoagulant,sexual enhancement,0.0,dd
2075,neurotoxin,sexual enhancement,0.0,dd
2076,misclassified,sexual enhancement,0.0,dd
2077,antacid,sexual enhancement,0.0,dd
2078,stimulants,sexual enhancement,3.51160585735857e-05,dd
2079,moiety,sexual enhancement,0.0,dd
2080,snakes,sexual enhancement,0.0,dd
2081,sexual enhancement,sexual enhancement,0.0,dd
2082,salicylate,sexual enhancement,0.0,dd
2083,alcohol,sexual enhancement,0.0,dd
2084,chemical process,sexual enhancement,0.0,dd
2085,cholinergic plant,sexual enhancement,0.0,dd
2086,dopamine agonist,sexual enhancement,0.0,dd
2087,paralytic,sexual enhancement,0.0,dd
2088,abortifacient,sexual enhancement,0.0,dd
2089,analgesic,sexual enhancement,0.0,dd
2090,anticholinergic medicine,sexual enhancement,1.17053528578619e-05,dd
2091,maoi,sexual enhancement,1.17053528578619e-05,dd
2092,functional class,sexual enhancement,2.34107057157238e-05,dd
2093,plant,sexual enhancement,0.0,dd
2094,chemotherapeutic,sexual enhancement,0.0,dd
2095,nsaid,sexual enhancement,0.0,dd
2096,cyanogenic,sexual enhancement,0.0,dd
2097,anesthetic,sexual enhancement,0.0,dd
2098,hepatotoxin,sexual enhancement,0.0,dd
2099,anabolic hormones,sexual enhancement,0.0,dd
2100,antinausea,sexual enhancement,0.0,dd
2101,antihyperglycemic,sexual enhancement,0.0,dd
2102,hiv medications,sexual enhancement,0.0,dd
2103,nonopioid analgesic,sexual enhancement,0.0,dd
2104,inhalant,sexual enhancement,0.0,dd
2105,psychedelic,sexual enhancement,2.34107057157238e-05,dd
2106,antipsychotic,sexual enhancement,0.0,dd
2107,bulking agent,sexual enhancement,0.0,dd
2108,serm,sexual enhancement,0.0,dd
2109,metabolite,sexual enhancement,0.0,dd
2110,cannabinoid receptor agonists,sexual enhancement,0.0,dd
2111,endogenous chemical,sexual enhancement,2.34107057157238e-05,dd
2112,sedative,sexual enhancement,0.0,dd
2113,antidepressant,sexual enhancement,0.0,dd
2114,structural class,sexual enhancement,2.34107057157238e-05,dd
2115,chemical reagent,sexual enhancement,0.0,dd
2116,androgen/estrogen,sexual enhancement,0.0,dd
2117,uncoupler,sexual enhancement,0.0,dd
2118,steroid,sexual enhancement,0.0,dd
2119,nootropic,sexual enhancement,0.0,dd
2120,acetaminophen-containing,sexual enhancement,0.0,dd
2121,element,sexual enhancement,0.0,dd
2122,tricyclic antidepressants,sexual enhancement,0.0,dd
2123,antithyroid,sexual enhancement,0.0,dd
2124,nmda antagonist,sexual enhancement,0.0,dd
2125,vasoactive,sexual enhancement,0.0,dd
2126,opioid,salicylate,3.51160585735857e-05,dd
2127,serotonergic,salicylate,0.0,dd
2128,unclear,salicylate,0.0,dd
2129,cardioactive,salicylate,0.0,dd
2130,antibiotic/antifungal,salicylate,0.0,dd
2131,ssri,salicylate,0.0,dd
2132,ergot,salicylate,0.0,dd
2133,anti-inflammatory,salicylate,3.51160585735857e-05,dd
2134,mushrooms,salicylate,0.0,dd
2135,anticoagulant,salicylate,0.0,dd
2136,neurotoxin,salicylate,0.0,dd
2137,misclassified,salicylate,0.0,dd
2138,antacid,salicylate,0.0,dd
2139,stimulants,salicylate,0.0,dd
2140,moiety,salicylate,0.0,dd
2141,snakes,salicylate,0.0,dd
2142,sexual enhancement,salicylate,0.0,dd
2143,salicylate,salicylate,0.0,dd
2144,alcohol,salicylate,0.0,dd
2145,chemical process,salicylate,0.0,dd
2146,cholinergic plant,salicylate,0.0,dd
2147,dopamine agonist,salicylate,0.0,dd
2148,paralytic,salicylate,0.0,dd
2149,abortifacient,salicylate,0.0,dd
2150,analgesic,salicylate,0.0,dd
2151,anticholinergic medicine,salicylate,0.0,dd
2152,maoi,salicylate,0.0,dd
2153,functional class,salicylate,3.51160585735857e-05,dd
2154,plant,salicylate,0.0,dd
2155,chemotherapeutic,salicylate,0.0,dd
2156,nsaid,salicylate,0.0,dd
2157,cyanogenic,salicylate,0.0,dd
2158,anesthetic,salicylate,0.0,dd
2159,hepatotoxin,salicylate,0.0,dd
2160,anabolic hormones,salicylate,0.0,dd
2161,antinausea,salicylate,0.0,dd
2162,antihyperglycemic,salicylate,0.0,dd
2163,hiv medications,salicylate,0.0,dd
2164,nonopioid analgesic,salicylate,0.0,dd
2165,inhalant,salicylate,0.0,dd
2166,psychedelic,salicylate,0.0,dd
2167,antipsychotic,salicylate,0.0,dd
2168,bulking agent,salicylate,0.0,dd
2169,serm,salicylate,0.0,dd
2170,metabolite,salicylate,0.0,dd
2171,cannabinoid receptor agonists,salicylate,0.0,dd
2172,endogenous chemical,salicylate,0.0,dd
2173,sedative,salicylate,0.0,dd
2174,antidepressant,salicylate,0.0,dd
2175,structural class,salicylate,0.0,dd
2176,chemical reagent,salicylate,0.0,dd
2177,androgen/estrogen,salicylate,0.0,dd
2178,uncoupler,salicylate,0.0,dd
2179,steroid,salicylate,0.0,dd
2180,nootropic,salicylate,0.0,dd
2181,acetaminophen-containing,salicylate,0.0,dd
2182,element,salicylate,0.0,dd
2183,tricyclic antidepressants,salicylate,0.0,dd
2184,antithyroid,salicylate,0.0,dd
2185,nmda antagonist,salicylate,0.0,dd
2186,vasoactive,salicylate,0.0,dd
2187,opioid,alcohol,6.7075617500107526e-06,dd
2188,serotonergic,alcohol,0.0,dd
2189,unclear,alcohol,0.0,dd
2190,cardioactive,alcohol,3.9456245588298544e-07,dd
2191,antibiotic/antifungal,alcohol,1.5782498235319418e-06,dd
2192,ssri,alcohol,1.315208186276618e-07,dd
2193,ergot,alcohol,5.260832745106472e-07,dd
2194,anti-inflammatory,alcohol,0.0,dd
2195,mushrooms,alcohol,2.630416372553236e-07,dd
2196,anticoagulant,alcohol,0.0,dd
2197,neurotoxin,alcohol,0.0,dd
2198,misclassified,alcohol,0.0,dd
2199,antacid,alcohol,1.315208186276618e-07,dd
2200,stimulants,alcohol,1.6177060691202404e-05,dd
2201,moiety,alcohol,5.260832745106472e-07,dd
2202,snakes,alcohol,0.0,dd
2203,sexual enhancement,alcohol,0.0,dd
2204,salicylate,alcohol,0.0,dd
2205,alcohol,alcohol,0.0,dd
2206,chemical process,alcohol,1.315208186276618e-07,dd
2207,cholinergic plant,alcohol,1.315208186276618e-07,dd
2208,dopamine agonist,alcohol,1.315208186276618e-07,dd
2209,paralytic,alcohol,0.0,dd
2210,abortifacient,alcohol,0.0,dd
2211,analgesic,alcohol,0.0,dd
2212,anticholinergic medicine,alcohol,1.8412914607872652e-06,dd
2213,maoi,alcohol,2.630416372553236e-07,dd
2214,functional class,alcohol,2.3673747352979124e-06,dd
2215,plant,alcohol,3.4195412843192068e-06,dd
2216,chemotherapeutic,alcohol,7.891249117659709e-07,dd
2217,nsaid,alcohol,0.0,dd
2218,cyanogenic,alcohol,0.0,dd
2219,anesthetic,alcohol,0.0,dd
2220,hepatotoxin,alcohol,0.0,dd
2221,anabolic hormones,alcohol,0.0,dd
2222,antinausea,alcohol,5.260832745106472e-07,dd
2223,antihyperglycemic,alcohol,1.315208186276618e-07,dd
2224,hiv medications,alcohol,0.0,dd
2225,nonopioid analgesic,alcohol,2.630416372553236e-07,dd
2226,inhalant,alcohol,1.315208186276618e-07,dd
2227,psychedelic,alcohol,2.314766407846848e-05,dd
2228,antipsychotic,alcohol,2.630416372553236e-07,dd
2229,bulking agent,alcohol,0.0,dd
2230,serm,alcohol,0.0,dd
2231,metabolite,alcohol,1.44672900490428e-06,dd
2232,cannabinoid receptor agonists,alcohol,6.8390825686384136e-06,dd
2233,endogenous chemical,alcohol,1.44672900490428e-06,dd
2234,sedative,alcohol,1.315208186276618e-06,dd
2235,antidepressant,alcohol,2.630416372553236e-07,dd
2236,structural class,alcohol,3.6825829215745305e-06,dd
2237,chemical reagent,alcohol,6.57604093138309e-07,dd
2238,androgen/estrogen,alcohol,0.0,dd
2239,uncoupler,alcohol,0.0,dd
2240,steroid,alcohol,3.9456245588298544e-07,dd
2241,nootropic,alcohol,0.0,dd
2242,acetaminophen-containing,alcohol,3.9456245588298544e-07,dd
2243,element,alcohol,1.0521665490212944e-06,dd
2244,tricyclic antidepressants,alcohol,0.0,dd
2245,antithyroid,alcohol,0.0,dd
2246,nmda antagonist,alcohol,0.0,dd
2247,vasoactive,alcohol,6.57604093138309e-07,dd
2248,opioid,chemical process,0.0,dd
2249,serotonergic,chemical process,0.0,dd
2250,unclear,chemical process,0.0,dd
2251,cardioactive,chemical process,0.0,dd
2252,antibiotic/antifungal,chemical process,0.0,dd
2253,ssri,chemical process,0.0,dd
2254,ergot,chemical process,0.0,dd
2255,anti-inflammatory,chemical process,0.0,dd
2256,mushrooms,chemical process,0.0,dd
2257,anticoagulant,chemical process,0.0,dd
2258,neurotoxin,chemical process,0.0,dd
2259,misclassified,chemical process,0.0,dd
2260,antacid,chemical process,0.0,dd
2261,stimulants,chemical process,2.34107057157238e-05,dd
2262,moiety,chemical process,0.0,dd
2263,snakes,chemical process,0.0,dd
2264,sexual enhancement,chemical process,0.0,dd
2265,salicylate,chemical process,0.0,dd
2266,alcohol,chemical process,1.17053528578619e-05,dd
2267,chemical process,chemical process,0.0,dd
2268,cholinergic plant,chemical process,0.0,dd
2269,dopamine agonist,chemical process,0.0,dd
2270,paralytic,chemical process,0.0,dd
2271,abortifacient,chemical process,0.0,dd
2272,analgesic,chemical process,0.0,dd
2273,anticholinergic medicine,chemical process,0.0,dd
2274,maoi,chemical process,0.0,dd
2275,functional class,chemical process,1.17053528578619e-05,dd
2276,plant,chemical process,0.0,dd
2277,chemotherapeutic,chemical process,0.0,dd
2278,nsaid,chemical process,0.0,dd
2279,cyanogenic,chemical process,0.0,dd
2280,anesthetic,chemical process,0.0,dd
2281,hepatotoxin,chemical process,0.0,dd
2282,anabolic hormones,chemical process,0.0,dd
2283,antinausea,chemical process,0.0,dd
2284,antihyperglycemic,chemical process,0.0,dd
2285,hiv medications,chemical process,0.0,dd
2286,nonopioid analgesic,chemical process,0.0,dd
2287,inhalant,chemical process,0.0,dd
2288,psychedelic,chemical process,3.51160585735857e-05,dd
2289,antipsychotic,chemical process,0.0,dd
2290,bulking agent,chemical process,0.0,dd
2291,serm,chemical process,0.0,dd
2292,metabolite,chemical process,0.0,dd
2293,cannabinoid receptor agonists,chemical process,0.0,dd
2294,endogenous chemical,chemical process,2.34107057157238e-05,dd
2295,sedative,chemical process,1.17053528578619e-05,dd
2296,antidepressant,chemical process,0.0,dd
2297,structural class,chemical process,1.17053528578619e-05,dd
2298,chemical reagent,chemical process,0.0,dd
2299,androgen/estrogen,chemical process,0.0,dd
2300,uncoupler,chemical process,0.0,dd
2301,steroid,chemical process,0.0,dd
2302,nootropic,chemical process,0.0,dd
2303,acetaminophen-containing,chemical process,0.0,dd
2304,element,chemical process,1.17053528578619e-05,dd
2305,tricyclic antidepressants,chemical process,0.0,dd
2306,antithyroid,chemical process,0.0,dd
2307,nmda antagonist,chemical process,0.0,dd
2308,vasoactive,chemical process,0.0,dd
2309,opioid,cholinergic plant,7.803568571907932e-06,dd
2310,serotonergic,cholinergic plant,0.0,dd
2311,unclear,cholinergic plant,0.0,dd
2312,cardioactive,cholinergic plant,0.0,dd
2313,antibiotic/antifungal,cholinergic plant,0.0,dd
2314,ssri,cholinergic plant,0.0,dd
2315,ergot,cholinergic plant,0.0,dd
2316,anti-inflammatory,cholinergic plant,0.0,dd
2317,mushrooms,cholinergic plant,0.0,dd
2318,anticoagulant,cholinergic plant,0.0,dd
2319,neurotoxin,cholinergic plant,0.0,dd
2320,misclassified,cholinergic plant,0.0,dd
2321,antacid,cholinergic plant,0.0,dd
2322,stimulants,cholinergic plant,2.7312490001677765e-05,dd
2323,moiety,cholinergic plant,0.0,dd
2324,snakes,cholinergic plant,0.0,dd
